"cohort_month","months_since_cohort","active_customers","cohort_size","retention_rate"
"2011-01-01 00:00:00","0","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","1","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","2","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","3","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","4","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","5","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","6","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","7","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","8","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","9","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","10","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","11","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","12","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","13","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","14","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","15","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","16","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","17","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","18","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","19","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","20","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","21","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","22","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","23","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","24","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","25","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","26","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","27","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","28","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","29","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","30","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","31","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","32","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","33","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","34","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","35","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","36","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","37","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","38","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","39","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","40","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","41","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","42","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","43","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","44","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","45","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","46","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","47","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","48","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","49","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","50","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","51","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","52","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","53","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","54","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","55","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","56","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","57","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","58","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","59","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","60","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","61","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","62","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","63","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","64","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","65","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","66","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","67","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","68","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","69","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","70","362","362","1.00000000000000000000"
"2011-01-01 00:00:00","71","362","362","1.00000000000000000000"
"2011-02-01 00:00:00","0","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","1","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","2","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","3","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","4","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","5","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","6","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","7","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","8","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","9","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","10","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","11","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","12","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","13","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","14","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","15","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","16","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","17","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","18","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","19","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","20","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","21","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","22","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","23","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","24","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","25","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","26","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","27","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","28","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","29","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","30","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","31","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","32","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","33","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","34","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","35","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","36","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","37","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","38","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","39","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","40","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","41","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","42","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","43","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","44","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","45","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","46","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","47","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","48","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","49","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","50","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","51","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","52","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","53","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","54","170","170","1.00000000000000000000"
"2011-02-01 00:00:00","55","170","170","1.00000000000000000000"
